Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Cabo Verde,CPV,3.07491827,3.05590343,3.04348063,3.17430449,3.08039069,3.28108525,3.20918369,3.24621487,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Burkina Faso,BFA,1.06450045,1.61236393,1.62685144,1.45618773,2.38884258,2.61084127,2.0870657,2.28508854,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Cameroon,CMR,0.66323209,0.50073928,0.61331671,0.37891248,0.37905285,0.14560163,0.21044466,0.12061489,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Canada,CAN,7.4011817,7.3582077,7.23180246,7.58065939,7.67784119,7.56277943,7.58277988,7.60929585,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Central African Republic,CAF,0.62263757,0.98294169,0.71108782,0.45585293,0.59953207,0.72882235,0.68856221,0.81950128,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Congo, Rep.",COG,0.81893635,0.93664944,0.94694954,1.11883152,1.20435894,0.96620154,0.68406534,0.78319961,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Cote d'Ivoire,CIV,0.74607885,0.72783411,0.77760935,0.80445975,0.86090881,0.94937867,0.90654147,0.95927447,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Denmark,DNK,8.600667,8.56900883,8.56367874,8.60955524,8.53385067,8.43570423,8.44737244,8.29217625,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Ghana,GHA,1.98409915,1.8705864,1.43829823,1.62140036,1.32770717,1.08722985,1.37648439,1.3756671,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,India,IND,0.93186861,0.86504191,0.85653549,0.92193186,0.94049966,0.96734679,0.8878178,0.9882924,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Mali,MLI,0.4135493,0.81583822,0.89173353,0.91927379,1.20876765,1.17751443,1.15118265,1.31026745,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Senegal,SEN,1.21923661,1.17077088,1.08003676,1.07820702,1.06801879,0.95649564,0.96029741,1.03445733,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Rwanda,RWA,2.04620838,2.16332793,2.18464565,2.09518266,2.22266674,2.22885251,2.34513021,2.56083989,..,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,
Last Updated: 09/19/2022,,,,,,,,,,,,,
