Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,71.445,71.661,71.886,72.117,72.347,72.57,72.782,72.981,73.166,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,58.374,58.937,59.45,59.919,60.354,60.768,61.174,61.577,61.981,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,56.073,56.576,57.083,57.583,58.063,58.511,58.921,59.292,59.626,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,81.6487804878049,81.7487804878049,81.8,81.9,81.9,81.9,82.0487804878049,82.0487804878049,81.7487804878049,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,48.638,49.371,50.129,50.881,51.593,52.24,52.805,53.283,53.679,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,61.423,62.022,62.582,63.097,63.556,63.954,64.29,64.57,64.804,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,54.271,54.906,55.508,56.065,56.567,57.017,57.422,57.783,58.104,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,80.0512195121951,80.3,80.7,80.7024390243902,80.8536585365854,81.1024390243903,80.9536585365854,81.4512195121951,81.5512195121951,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,61.72,62.064,62.416,62.772,63.124,63.463,63.78,64.074,64.347,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,67.545,67.931,68.286,68.607,68.897,69.165,69.416,69.656,69.887,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,56.135,56.578,57.036,57.509,57.987,58.452,58.893,59.306,59.692,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,65.448,65.939,66.37,66.747,67.078,67.38,67.665,67.941,68.213,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,65.438,66.219,66.884,67.45,67.93,68.341,68.7,69.024,69.329,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,
Last Updated: 09/19/2022,,,,,,,,,,,,,
